iter	Passed	Remaining
659	12601	6491
660	12617	6471
661	12637	6452
662	12652	6431
663	12669	6411
664	12685	6390
665	12704	6371
666	12722	6351
667	12743	6333
668	12761	6314
669	12779	6294
670	12797	6274
671	12816	6255
672	12834	6235
673	12850	6215
674	12867	6195
675	12884	6175
676	12901	6155
677	12919	6135
678	12939	6117
679	12955	6096
680	12971	6076
681	12990	6057
682	13009	6038
683	13027	6018
684	13045	5999
685	13065	5980
686	13082	5960
687	13100	5940
688	13119	5922
689	13139	5903
690	13157	5883
691	13179	5865
692	13197	5846
693	13217	5828
694	13234	5807
695	13251	5788
696	13268	5768
697	13286	5748
698	13303	5728
699	13320	5708
700	13339	5689
701	13357	5670
702	13376	5651
703	13394	5631
704	13411	5612
705	13428	5591
706	13444	5571
707	13462	5552
708	13479	5532
709	13496	5512
710	13514	5493
711	13533	5474
712	13551	5454
713	13570	5435
714	13588	5416
715	13606	5397
716	13625	5378
717	13642	5358
718	13660	5338
719	13675	5318
720	13693	5298
721	13708	5278
722	13725	5258
723	13742	5238
724	13761	5220
725	13778	5200
726	13796	5180
727	13815	5161
728	13831	5141
729	13847	5121
730	13866	5102
731	13884	5083
732	13901	5063
733	13919	5044
734	13936	5024
735	13951	5004
736	13970	4985
737	13987	4965
738	14005	4946
739	14024	4927
740	14041	4907
741	14058	4888
742	14076	4868
743	14093	4849
744	14110	4829
745	14128	4810
746	14144	4790
747	14163	4771
748	14182	4752
749	14199	4733
750	14217	4714
751	14236	4694
752	14251	4674
753	14269	4655
754	14288	4636
755	14305	4617
756	14322	4597
757	14338	4577
758	14357	4558
759	14376	4540
760	14393	4520
761	14411	4501
762	14429	4482
763	14448	4463
764	14467	4444
765	14488	4425
766	14509	4407
767	14529	4389
768	14549	4370
769	14566	4350
770	14584	4331
771	14602	4312
772	14619	4293
773	14637	4274
774	14656	4254
775	14674	4235
776	14693	4216
777	14709	4197
778	14727	4178
779	14745	4158
780	14762	4139
781	14779	4120
782	14797	4101
783	14815	4081
784	14834	4062
785	14852	4043
786	14870	4024
787	14887	4005
788	14906	3986
789	14928	3968
790	14946	3949
791	14965	3930
792	14982	3910
793	15001	3892
794	15018	3872
795	15037	3853
796	15054	3834
797	15072	3815
798	15088	3795
799	15105	3776
800	15121	3756
801	15138	3737
802	15155	3718
803	15173	3699
804	15191	3679
805	15208	3660
806	15225	3641
807	15245	3622
808	15262	3603
809	15286	3585
810	15304	3566
811	15323	3547
812	15342	3528
813	15358	3509
814	15375	3490
815	15393	3471
816	15412	3452
817	15430	3433
818	15450	3414
819	15468	3395
820	15486	3376
821	15503	3357
822	15522	3338
823	15539	3319
824	15555	3299
825	15571	3280
826	15589	3261
